Latitude,Longitude,Location
18.613271,73.874016,Dighi Property Tax Office
18.601096,73.802263,"PCMC's Madhyamic Vidyalaya, Pimple Saudagar"
18.624073,73.78237,"PCMC's Madhyamic Vidyalaya, Keshavnagar."
18.614666,73.77938,"PCMC's Madhyamic Vidyalaya, Thergaon"
18.650561,73.784379,"PCMC's Urdu School Building, Akurdi"
18.651017,73.784093,"PCMC's Madhyamic Vidyalaya, Akurdi"
18.647525,73.790176,"PCMC's Madhyamik Vidyalaya, Kalbhornagar"
18.671011,73.778835,"PCMC's Madhymik School, Rupinagar"
18.59205,73.76213,"PCMC's Madyamic Vidyalaya, Wakad"
18.592515,73.819411,"PCMC's Madhyamic Vidyalaya, Pimple Gurav"
18.619865,73.846083,"PCMC's Madhyamik Vidyalaya, Landewadi"
18.632149,73.821657,"PCMC's Madhyamic Vidyalaya, Nehrunagar"
18.62601,73.8112,"PCMC's Madhyamic Vidyalaya, Kharalwadi"
18.634282,73.819501,"PCMC's Madhyamic Vidyalaya, Krida Probodhini"
18.59164,73.83136,"PCMC's Madhyamic vidyalaya, Phugewadi"
18.604273,73.826547,"PCMC's Madhyamic vidyalaya, Kasarwadi"
18.616983,73.817868,"PCMC's Madhyamic Vidyalaya, Sant Tukaramnagar"
18.61376,73.8054,"PCMC's Madhyamic Vidyalaya, Pimprinagar"
18.627396,73.780174,Chinchwad Study Center
18.665156,73.778234,Annabhau Sathe Sanstritik Bhawan Study Center
18.620619,73.849227,Bhosari Study Center
18.57478,73.820495,Shahid Ashok Kamte Study Center
18.6029,73.82531,Netaji Subhash Chandra Bose Study Center
18.662117,73.795993,APJ Abdul Kalam Study Center
18.596513,73.782069,D zone office
18.614608,73.779353,G zone office
18.656023,73.771122,A zone office
18.631824,73.826643,C zone office
18.658575,73.776464,F zone office
18.642102,73.849854,E zone office
18.639712,73.790842,B Zone Office
18.601277,73.82262,H zone office
18.618627,73.826804,Bhosari Police Station
18.65935,73.811989,Chikhali Police Station
18.62949,73.779887,Chinchwad Police Station
18.643051,73.878295,Dighi Police Station
18.648103,73.842627,MIDC Bhosari Police Station
18.661997,73.771902,Nigdi Police Station
18.639741,73.794613,Pimpri Police Station
18.578203,73.815725,Sangavi Police Station
18.60733,73.765136,Wakad Police Station
18.627934,73.782457,"DCP Traffic Office, Chinchwad"
18.639297,73.781355,"CP Office, Premlok Park"
