Relative_Path,Latitude,Longitude,Location
./img83.jpeg,18.636842,73.842649,Nana Nani Park
./img84.jpeg,18.629214,73.782173,Chaphekar Memorial Park
./img85.jpeg,18.614488,73.780673,Bapuji Buva Udyan
./img86.jpeg,18.569548,73.814067,Chatrapati shivaji Maharaj Garden
./img87.jpeg,18.59174,73.817464,Rajmata Jijau Garden
./img88.jpeg,18.624656,73.817843,Sant Shiromani Savata Mali Park
./img89.jpeg,18.620435,73.847573,Bhosari Hospital
./img9.jpeg,18.606902,73.768652,Thergaon Hospital
./img90.jpeg,18.626362,73.784378,Talera hospital
./img91.jpg,18.649987,73.78195,Akrudi Hospital
./img92.jpg,18.656754,73.767069,Pradhikaran Dispensary
./img93.jpg,18.575639,73.820534,Sanghvi Hospital
./img94.jpg,18.587803,73.832092,Phugewadi Dispensary
./img95.jpg,18.60248,73.82479,"Pimpri Chinchwad Hospital, Kasarwadi"
./img96.jpg,18.637706,73.807189,I.T.I. Morewadi
./img97.jpg,18.601277,73.82262,I.T.I. Kasarwadi
./img98.jpg,18.66568,73.78913,I.T.I. Akurdi
./img99.jpg,18.615124,73.779474,Thergaon Property Tax Office
